,name,station_category,metro_longitude,metro_latitude
88,Kladow/Imchenplatz,,13.149634699999998,52.45211260000001
89,S Karlshorst,3.0,13.527279,52.4804671
90,S Köpenick,4.0,13.5815192,52.45857700000001
91,S Betriebsbahnhof Rummelsburg,4.0,13.4977302,52.4938868
92,Berlin Friedrichstraße,2.0,13.3869884,52.5201744
93,Berlin-Hohenschönhausen,3.0,13.5122261,52.5661794
94,U Elsterwerdaer Platz,,13.560878,52.5052929
95,U Biesdorf-Süd,,13.5465321,52.4996047
96,Berlin Jungfernheide,4.0,13.2996666,52.5302785
97,S Savignyplatz,4.0,13.319065900000002,52.5051746
98,S Wedding,4.0,13.366999599999998,52.54278660000001
99,S Halensee,4.0,13.2905555,52.4960247
100,S Innsbrucker Platz,4.0,13.341540900000002,52.4781074
101,S Ostkreuz,3.0,13.4695776,52.50315229999999
102,Fährstation Lindwerder,,13.1953199,52.4675848
103,Fähre Familie Burchardi,,13.2238763,52.5730601
104,,,13.2259085,52.56455250000001
105,,,13.2294962,52.5606754
106,S Südkreuz (Ringbahn),1.0,13.3650726,52.4759806
107,S Gesundbrunnen,1.0,13.3900758,52.5491748
108,S Pankow-Heinersdorf,5.0,13.4295093,52.57806529999999
109,S Nikolassee,4.0,13.1931603,52.43205500000001
110,S Zoologischer Garten,2.0,13.331868,52.5071378
111,S Feuerbachstraße,5.0,13.3326994,52.463673
112,U Rosenthaler Platz,,13.4011206,52.5298999
113,S Schlachtensee,4.0,13.2154373,52.440088
114,Berliner Dom,,13.400469400000002,52.5200995
115,Festplatz,,13.4142029,52.43537859999999
116,Buckower Damm,,13.429967199999998,52.42906850000001
117,S Tempelhof,4.0,13.3844457,52.47097040000001
118,Kalenderplatz,,13.4217208,52.4364063
119,Fährstation Lindwerder,,13.1925936,52.4677419
120,S Nordbahnhof,4.0,13.387839199999998,52.5322749
121,U Gleisdreieck,,13.3740318,52.4995261
122,S Oranienburger Straße,4.0,13.3930145,52.5252246
123,S Messe Nord/ICC,4.0,13.283470199999998,52.5077057
124,Berlin Hauptbahnhof (tief),1.0,13.369860999999998,52.5246361
125,U Gesundbrunnen,,13.3883057,52.5488223
126,S Sundgauer Straße,5.0,13.274201199999998,52.4364399
127,S Mexikoplatz,4.0,13.2332397,52.4367661
128,S Humboldthain,4.0,13.3794684,52.5449517
129,S Bornholmer Straße,4.0,13.3978451,52.5547713
130,S Alt-Reinickendorf,5.0,13.3512427,52.5777843
131,S Karl-Bonhoeffer-Nervenklinik,6.0,13.3291747,52.578019
132,S Eichborndamm,5.0,13.3166204,52.5776294
133,S Tegel,5.0,13.2896968,52.58819129999999
134,S Buckower Chaussee,5.0,13.3827717,52.410545
135,Berlin-Lichterfelde Ost,3.0,13.3288225,52.429637
136,S Lankwitz,6.0,13.3420633,52.43878520000001
137,S Heiligensee,4.0,13.229194,52.6246647
138,S Schöneberg,4.0,13.3519181,52.4793491
139,S Lichterfelde West,4.0,13.2935862,52.4433056
140,S Ostbahnhof,1.0,13.4351709,52.5107448
141,S Blankenburg,4.0,13.443482199999998,52.59146550000001
142,U Wedding,,13.3650375,52.5430625
143,S Stresow,5.0,13.2093454,52.5319419
144,S Frohnau,4.0,13.290220499999998,52.632409
145,S Hermsdorf,4.0,13.307518900000002,52.6174544
146,S Waidmannslust,4.0,13.321194,52.6062718
147,S Wittenau,4.0,13.3342591,52.59705200000001
148,S Wilhelmsruh,4.0,13.362240300000002,52.5816944
149,Berlin-Spandau,2.0,13.1956287,52.5347694
150,S Johannisthal,4.0,13.5235435,52.4469899
151,S Schönholz,4.0,13.380990400000002,52.5715004
152,S Prenzlauer Allee,4.0,13.4259805,52.54479010000001
153,S Attilastraße,5.0,13.3607503,52.4480308
154,U Stadtmitte (U2),,13.3905632,52.5121459
155,Berlin Ostbahnhof,1.0,13.4349112,52.5103817
156,Berlin Potsdamer Platz,2.0,13.3759366,52.5092044
157,S Adlershof,4.0,13.5415575,52.434735
158,S Altglienicke,5.0,13.5582554,52.4069533
159,S Grünau,4.0,13.5736378,52.4128789
160,S Schöneweide,3.0,13.509765300000002,52.4549058
161,S Baumschulenweg,4.0,13.489862099999998,52.4674002
