,name,bus_longitude,bus_latitude
296,Gatower Straße/Heerstraße,13.1842242,52.515091000000005
297,S Buckower Chaussee,13.384032099999999,52.4114454
298,Lichterfelder Ring/Waldsassener Straße,13.3499422,52.411471500000005
299,Lichterfelder Ring/Waldsassener Straße,13.349642900000001,52.41218
300,Waldsassener Straße,13.350562699999998,52.4084326
301,Waldsassener Straße,13.350775899999999,52.408074299999996
302,Maximilian-Kaller-Straße,13.352322899999999,52.416379799999994
303,Maximilian-Kaller-Straße,13.3530389,52.416562
304,Brotteroder Straße,13.350466,52.4203515
305,Brotteroder Straße,13.351087,52.419731299999995
306,Blankenhainer Straße,13.349507699999998,52.421724600000005
307,Blankenhainer Straße,13.3486866,52.4225749
308,St. Marien-Krankenhaus,13.347600400000001,52.4252
309,St. Marien-Krankenhaus,13.3478772,52.4246299
310,Eiswaldtstraße,13.346784099999999,52.4290296
311,Eiswaldtstraße,13.347124800000001,52.4280792
312,Havensteinstraße,13.3462696,52.4316816
313,Havensteinstraße,13.3464179,52.4322757
314,Kameradenweg,13.346226399999999,52.433937199999995
315,Kameradenweg,13.3460626,52.4342319
316,Lankwitz Kirche,13.3464087,52.4360193
317,Lankwitz Kirche,13.3462057,52.4359184
318,Lankwitz Kirche,13.345207,52.43668
319,Lankwitz Kirche,13.345409599999998,52.436748
320,S Lankwitz,13.344289199999999,52.4383731
321,S Lankwitz,13.3437293,52.4387429
322,Paul-Schneider-Straße,13.349880599999999,52.434388899999995
323,Paul-Schneider-Straße,13.3505926,52.433938600000005
324,Malteserstraße/Kamenzer Damm,13.3529364,52.4329812
325,Am Gemeindepark,13.354301500000002,52.4295043
326,Am Gemeindepark,13.3545574,52.429801399999995
327,Am Gemeindepark,13.355561100000001,52.429219499999995
328,Wedellstraße,13.3594215,52.4291812
329,Wedellstraße,13.3579807,52.42934150000001
330,Wichurastraße,13.362380300000002,52.4284064
331,Wichurastraße,13.362338699999999,52.42831760000001
332,Preysingstraße,13.3646796,52.4276902
333,Sonnenscheinpfad,13.3676777,52.4266654
334,Sonnenscheinpfad,13.368454000000002,52.426534100000005
335,Belßstraße/Marienfelder Allee,13.3726369,52.425028600000005
336,Belßstraße/Marienfelder Allee,13.372542999999999,52.425232799999996
337,S Marienfelde,13.374534400000002,52.4239577
338,S Marienfelde,13.3746396,52.4236698
339,Hranitzkystraße,13.3707595,52.4226625
340,Hranitzkystraße,13.370585199999999,52.4221445
341,Erinnerungsstätte Marienfelde,13.369466199999998,52.4210974
342,Erinnerungsstätte Marienfelde,13.3692255,52.4205416
343,Hanielweg,13.3666923,52.41781470000001
344,Hanielweg,13.3663783,52.417103999999995
345,Emmichstraße,13.355294,52.427193700000004
346,Emmichstraße,13.355271599999998,52.4279511
347,Lankwitz Kirche,13.346421,52.4365551
348,Lankwitz Kirche,13.344937400000001,52.4359294
349,Malteserstraße/Kamenzer Damm,13.354192999999999,52.433570200000005
350,Malteserstraße/Kamenzer Damm,13.3537802,52.43338589999999
351,Kamenzer Damm/Wedellstraße,13.3588872,52.43424520000001
352,Kamenzer Damm/Wedellstraße,13.3599971,52.4342467
353,Halbauer Weg,13.3630003,52.4346519
354,Halbauer Weg,13.3613663,52.434574100000006
355,Döhlauer Pfad,13.3631065,52.4365679
356,Döhlauer Pfad,13.3622745,52.4366066
357,Wunsiedeler Weg,13.3571704,52.43758979999999
358,Wunsiedeler Weg,13.3578524,52.4374973
359,Langkofelweg,13.3537035,52.43868810000001
360,Langkofelweg,13.3535661,52.438889100000004
361,Edenkobener Weg,13.3509358,52.4398747
362,Edenkobener Weg,13.351351999999999,52.43987760000001
363,Bruchwitzstraße,13.348549100000001,52.4381559
364,Bruchwitzstraße,13.3480802,52.4375702
365,Dillgesstraße,13.342132999999999,52.4343251
366,Dillgesstraße,13.3415733,52.4337777
367,Otisstraße/Quäkerstraße,13.3058471,52.575321900000006
368,Oberhofer Weg,13.3325084,52.4177131
369,Oberhofer Weg,13.3326045,52.4176179
370,Heinersdorfer Straße/Hildburghauser Straße,13.3241394,52.418639399999996
371,Heinersdorfer Straße/Hildburghauser Straße,13.3241583,52.418566299999995
372,Heinersdorfer Straße/Hildburghauser Straße,13.324607199999999,52.4181516
373,Heinersdorfer Straße/Hildburghauser Straße,13.3249711,52.419077
374,Blanckertzweg,13.319310699999999,52.418981099999996
375,Blanckertzweg,13.3195587,52.418887700000006
376,S Osdorfer Straße,13.314485000000001,52.4177909
377,S Osdorfer Straße,13.3144566,52.4174523
378,S Osdorfer Straße,13.313140400000002,52.418822799999994
379,Grabenstraße,13.3263079,52.4211003
380,Grabenstraße,13.326749800000002,52.4215624
381,Saaleckplatz,13.323960199999998,52.4162295
382,Saaleckplatz,13.324427300000002,52.4165239
383,Saaleckplatz,13.324632999999999,52.415867999999996
384,Lilienthalpark,13.3261288,52.4144023
385,Lilienthalpark,13.326683300000001,52.41398970000001
386,Schütte-Lanz-Straße/Lichterfelder Ring,13.329509400000001,52.411081
387,Schütte-Lanz-Straße/Lichterfelder Ring,13.329236100000001,52.410807299999995
388,Landweg,13.323352700000001,52.4104924
389,Landweg,13.3230905,52.4103852
390,Mercatorweg,13.320574599999999,52.4116065
391,Mercatorweg,13.319801000000002,52.411792
392,Mercatorweg,13.3199709,52.4121395
393,Mercatorweg,13.3202191,52.4123308
394,Celsiusstraße Süd,13.3141312,52.4109899
395,S Lichterfelde Süd,13.3118589,52.4110039
396,S Lichterfelde Süd,13.311079800000002,52.4109332
397,Woltmannweg,13.318061800000002,52.4143557
