,name,tramway_longitude,tramway_latitude
97,Rhinstraße/Gärtnerstraße,13.5098241,52.5457177
98,Simon-Bolivar-Straße,13.4844148,52.5399029
99,S Mahlsdorf,13.6092879,52.5111708
100,Friedrich-Wolf-Straße,13.5752688,52.4242962
101,Adersleber Weg,13.5604679,52.5380642
102,Platz der Vereinten Nationen,13.4334573,52.52323
103,Büschingstraße,13.4274991,52.5231163
104,S+U Schönhauser Allee,13.4138521,52.5495502
105,Milastraße,13.4125522,52.5449538
106,Hugenottenplatz,13.4196558,52.6060687
107,Arnouxstraße,13.424295,52.6072487
108,Blankenfelder Straße,13.4314825,52.6017309
109,Alte Försterei,13.5631525,52.4565253
110,Spindlersfelder Straße,13.5586012,52.455916
111,Nixenstraße,13.5501064,52.4566234
112,Freizeit- und Erholungszentrum,13.5436031,52.4575779
113,Bahnhofstraße/Lindenstraße,13.5710431,52.4516146
114,Pablo-Neruda-Straße,13.5862663,52.4409891
115,Schloßplatz Köpenick,13.5753837,52.4443409
116,S Spindlersfeld,13.5620478,52.4453436
117,Jenaer Straße,13.6143398,52.5321781
118,Alte Hellersdorfer Straße/Zossener Straße,13.5927653,52.5447348
119,Krankenhaus Köpenick/Südseite,13.5920763,52.4388396
120,Allee der Kosmonauten/Poelchaustraße,13.552675,52.5339031
121,Boschpoler Straße,13.5490456,52.5288185
122,S Springpfuhl,13.5364753,52.5256938
123,S+U Lichtenberg/Siegfriedstraße,13.4977547,52.5123603
124,Alt-Marzahn,13.5638356,52.542096
125,Bürgerpark Marzahn,13.5611133,52.5502042
126,Ahrensfelde/Stadtgrenze,13.5748224,52.5727427
127,Hohenschönhauser Straße,13.472126,52.5357243
128,S Landsberger Allee,13.4571206,52.5287726
129,S Greifswalder Straße,13.4382788,52.5407284
130,Orankestrand,13.4858254,52.5523003
131,Gehrenseestraße,13.5095067,52.5508669
132,Alfred-Kowalke-Straße,13.5202011,52.5047159
133,Gounodstraße,13.467105,52.5484859
134,Alt-Hohenschönhausen,13.5051916,52.5488033
135,Adlergestell/Vetschauer Allee,13.633786,52.3864124
136,Lübbenauer Weg,13.6349375,52.3911239
137,Glienicker Straße,13.57036,52.4408436
138,Sandinostraße,13.4805355,52.5384568
139,Stendaler Straße/Quedlinburger Straße,13.6043407,52.5389275
140,Navarraplatz,13.4293062,52.608242
141,Wiesenwinkel,13.3808622,52.5945385
142,Grüntaler Straße,13.3909988,52.5553253
143,Anna-Ebermann-Straße,13.5124151,52.5551935
144,Arnimstraße,13.5145413,52.5587048
145,Rüdickenstraße,13.5101671,52.5599143
146,Prerower Platz,13.5037009,52.5627532
147,Freienwalder Straße,13.4927547,52.5442504
148,Hohenschönhauser Straße,13.473882,52.5356989
149,Sportforum,13.4714237,52.5383802
150,Betriebshof Indira-Gandhi-Straße,13.4686831,52.544219
