,latitude,longitude,title,type
382,0.0,0.0,Cottbus,3
383,0.0,0.0,Frankfurt (Oder),3
384,0.0,0.0,Eisenhüttenstadt,3
385,0.0,0.0,Kostrzyn (Küstrin),3
386,0.0,0.0,Eberswalde,3
387,0.0,0.0,Szczecin (Stettin),3
388,0.0,0.0,Stralsund / Schwedt (Oder),3
389,0.0,0.0,Groß Schönebeck (Schorfheide),3
390,0.0,0.0,Templin Stadt,3
391,0.0,0.0,Stralsund / Rostock,3
392,0.0,0.0,Kremmen,3
393,0.0,0.0,Wittenberge,3
394,0.0,0.0,Rathaus Spandau,2
395,0.0,0.0,Flughafen Schönefeld,4
396,0.0,0.0,Flughafen Tegel,4
397,0.0,0.0,Fürstenwalde (Spree),3
398,0.0,0.0,Melchow,3
399,0.0,0.0,Biesenthal,3
400,0.0,0.0,Klosterfelde,3
401,0.0,0.0,Dabendorf,3
402,0.0,0.0,Lottschesee,3
403,0.0,0.0,Ruhlsdorf-Zerpenschleuse,3
404,0.0,0.0,Götz,3
405,0.0,0.0,Groß Kreutz,3
406,0.0,0.0,Schwante,3
407,0.0,0.0,Bestensee,3
408,0.0,0.0,Hangelsberg,3
409,52.3669112,13.511026,Flughafen BER T1-2,1
410,52.516852,13.388820999999998,U Unter den Linden,2
411,52.51892700000001,13.4081,U Rotes Rathaus,2
412,52.51759200000001,13.398668,U Museumsinsel,2
